"geneid","strand","fiveprime","threeprime"
"Pc2109T1C00000012g0000010","+",NA,1515
"Pc2109T1C00000012g0000020","-",1707,1515
"Pc2109T1C00000071g0000320","+",229,14024
"Pc2109T1C00000345g0000020","-",162,3098
"Pc2109T1C00000345g0000010","+",NA,3098
"Pc2109T1C00002567g0000120","+",218,302
"Pc2109T1C00002567g0000130","-",281,302
"Pc2109T1C00002567g0000140","+",281,2620
"Pc2109T1C00002567g0000150","+",2620,116
"Pc2109T1C00002567g0000160","-",203,116
"Pc2109T1C00002567g0000180","-",160,18393
"Pc2109T1C00002567g0000170","+",203,18393
"Pc2109T1C00002567g0000190","+",160,2630
"Pc2109T1C00002567g0000200","+",2630,21598
"Pc2109T1C00002567g0000210","-",203,21598
"Pc2109T1C00002567g0000220","+",203,1008
"Pc2109T1C00002567g0000230","+",1008,262
"Pc2109T1C00002567g0000240","+",262,729
"Pc2109T1C00002567g0000250","+",729,246
"Pc2109T1C00002567g0000260","-",169,246
"Pc2109T1C00002567g0000270","+",169,375
"Pc2109T1C00002567g0000280","-",514,375
"Pc2109T1C00002567g0000290","-",364,514
"Pc2109T1C00002567g0000300","+",364,159
"Pc2109T1C00002567g0000310","-",721,159
"Pc2109T1C00000345g0000030","+",162,450
"Pc2109T1C00002567g0000320","-",431,721
"Pc2109T1C00002567g0000330","+",431,2857
"Pc2109T1C00002567g0000340","+",2857,271
"Pc2109T1C00002567g0000350","+",271,169
"Pc2109T1C00002567g0000360","-",86,169
"Pc2109T1C00002567g0000370","-",169,86
"Pc2109T1C00002567g0000380","-",293,169
"Pc2109T1C00002567g0000390","+",293,167
"Pc2109T1C00002567g0000400","-",224,167
"Pc2109T1C00000345g0000040","+",450,93
"Pc2109T1C00002569g0000020","-",434,724
"Pc2109T1C00002569g0000030","+",434,2960
"Pc2109T1C00002569g0000050","-",21,1700
"Pc2109T1C00002569g0000040","+",2960,1700
"Pc2109T1C00002569g0000060","-",240,21
"Pc2109T1C00002569g0000070","+",240,248
"Pc2109T1C00002569g0000080","-",225,248
"Pc2109T1C00002569g0000100","-",2001,3046
"Pc2109T1C00002569g0000090","+",225,3046
"Pc2109T1C00000345g0000050","+",93,148
"Pc2109T1C00000345g0000060","-",252,148
"Pc2109T1C00002569g0000110","+",2001,25632
"Pc2109T1C00002569g0000120","+",25632,1601
"Pc2109T1C00002569g0000130","+",1601,2043
"Pc2109T1C00002569g0000150","-",699,521
"Pc2109T1C00002569g0000140","+",2043,521
"Pc2109T1C00002569g0000160","+",699,581
"Pc2109T1C00002569g0000170","+",581,722
"Pc2109T1C00002569g0000180","+",722,310
"Pc2109T1C00002569g0000190","+",310,1095
"Pc2109T1C00002569g0000200","+",1095,1699
"Pc2109T1C00002569g0000210","-",118,1699
"Pc2109T1C00000345g0000070","-",56,252
"Pc2109T1C00002569g0000220","-",161,118
"Pc2109T1C00002569g0000230","-",481,161
"Pc2109T1C00002569g0000240","-",179,481
"Pc2109T1C00002569g0000260","-",457,124
"Pc2109T1C00002569g0000250","+",179,124
"Pc2109T1C00002569g0000270","-",248,457
"Pc2109T1C00002569g0000280","-",1026,248
"Pc2109T1C00002569g0000290","-",604,1026
"Pc2109T1C00002569g0000300","-",163,604
"Pc2109T1C00002569g0000310","-",507,163
"Pc2109T1C00000345g0000080","-",411,56
"Pc2109T1C00002569g0000320","+",507,100
"Pc2109T1C00002569g0000340","-",536,151
"Pc2109T1C00002569g0000330","+",100,151
"Pc2109T1C00002569g0000350","-",784,536
"Pc2109T1C00002569g0000360","-",185,784
"Pc2109T1C00002569g0000370","-",1161,185
"Pc2109T1C00002569g0000390","-",413,1039
"Pc2109T1C00002569g0000380","+",1161,1039
"Pc2109T1C00002569g0000400","+",413,161
"Pc2109T1C00002569g0000410","-",477,161
"Pc2109T1C00000345g0000090","-",308,411
"Pc2109T1C00002569g0000420","-",179,477
"Pc2109T1C00002569g0000430","+",179,162
"Pc2109T1C00002569g0000440","-",84,162
"Pc2109T1C00002569g0000460","-",104,73
"Pc2109T1C00002569g0000450","+",84,73
"Pc2109T1C00002569g0000480","-",266,163
"Pc2109T1C00002569g0000470","+",104,163
"Pc2109T1C00002569g0000490","+",266,953
"Pc2109T1C00002569g0000500","+",953,1583
"Pc2109T1C00000345g0000100","-",5160,308
"Pc2109T1C00002569g0000510","+",1583,2929
"Pc2109T1C00002569g0000520","-",601,2929
"Pc2109T1C00002569g0000540","-",194,1201
"Pc2109T1C00002569g0000530","+",601,1201
"Pc2109T1C00002569g0000550","+",194,511
"Pc2109T1C00002569g0000570","-",499,631
"Pc2109T1C00002569g0000560","+",511,631
"Pc2109T1C00002569g0000580","-",129,499
"Pc2109T1C00002569g0000600","-",294,182
"Pc2109T1C00002569g0000590","+",129,182
"Pc2109T1C00002569g0000610","-",246,294
"Pc2109T1C00002569g0000630","-",125,126
"Pc2109T1C00002569g0000620","+",246,126
"Pc2109T1C00002569g0000650","-",2236,399
"Pc2109T1C00002569g0000640","+",125,399
"Pc2109T1C00002569g0000670","-",622,506
"Pc2109T1C00002569g0000660","+",2236,506
"Pc2109T1C00002569g0000680","-",142,622
"Pc2109T1C00002569g0000690","+",142,196
"Pc2109T1C00002569g0000710","-",228,114
"Pc2109T1C00002569g0000700","+",196,114
"Pc2109T1C00000071g0000330","+",14024,4016
"Pc2109T1C00000345g0000110","+",5160,213
"Pc2109T1C00002569g0000730","-",1301,1419
"Pc2109T1C00002569g0000720","+",228,1419
"Pc2109T1C00002569g0000740","-",439,1301
"Pc2109T1C00002569g0000750","+",439,374
"Pc2109T1C00002569g0000760","-",1885,374
"Pc2109T1C00002569g0000770","+",1885,366
"Pc2109T1C00002569g0000780","-",1126,366
"Pc2109T1C00002569g0000790","+",1126,153
"Pc2109T1C00002569g0000800","-",424,153
"Pc2109T1C00002569g0000810","-",269,424
"Pc2109T1C00000345g0000120","+",213,57
"Pc2109T1C00002569g0000830","-",137,337
"Pc2109T1C00002569g0000820","+",269,337
"Pc2109T1C00002569g0000840","+",137,303
"Pc2109T1C00002569g0000850","-",253,303
"Pc2109T1C00002569g0000860","+",253,161
"Pc2109T1C00002569g0000870","-",8854,161
"Pc2109T1C00002569g0000880","+",8854,1223
"Pc2109T1C00002569g0000890","+",1223,217
"Pc2109T1C00002569g0000910","-",149,49
"Pc2109T1C00002569g0000900","+",217,49
"Pc2109T1C00000345g0000140","-",26256,13641
"Pc2109T1C00000345g0000130","+",57,13641
"Pc2109T1C00002569g0000920","+",149,150
"Pc2109T1C00002569g0000930","-",317,150
"Pc2109T1C00002569g0000950","-",1381,947
"Pc2109T1C00002569g0000940","+",317,947
"Pc2109T1C00002569g0000960","-",1501,1381
"Pc2109T1C00002569g0000970","+",1501,2680
"Pc2109T1C00002569g0000980","+",2680,123
"Pc2109T1C00002569g0000990","-",2101,123
"Pc2109T1C00002569g0001010","-",127,187
"Pc2109T1C00002569g0001000","+",2101,187
"Pc2109T1C00002569g0001020","-",119,127
"Pc2109T1C00002569g0001030","+",119,1039
"Pc2109T1C00002569g0001050","-",3898,421
"Pc2109T1C00002569g0001040","+",1039,421
"Pc2109T1C00002569g0001060","-",157,3898
"Pc2109T1C00002569g0001070","+",157,1366
"Pc2109T1C00002569g0001080","-",2321,1366
"Pc2109T1C00002569g0001090","+",2321,46100
"Pc2109T1C00002569g0001100","-",2215,46100
"Pc2109T1C00002569g0001110","-",20999,2215
"Pc2109T1C00000345g0000150","+",26256,2921
"Pc2109T1C00002569g0001120","-",20218,20999
"Pc2109T1C00002569g0001130","-",475,20218
"Pc2109T1C00002569g0001140","+",475,631
"Pc2109T1C00002569g0001150","+",631,551
"Pc2109T1C00002569g0001160","-",1032,551
"Pc2109T1C00002569g0001170","-",302,1032
"Pc2109T1C00002569g0001180","+",302,3927
"Pc2109T1C00002569g0001200","-",43607,19428
"Pc2109T1C00002569g0001190","+",3927,19428
"Pc2109T1C00002569g0001210","-",16,43607
"Pc2109T1C00000345g0000170","-",12,3002
"Pc2109T1C00000345g0000160","+",2921,3002
"Pc2109T1C00002569g0001220","-",4144,16
"Pc2109T1C00002569g0001230","+",4144,245
"Pc2109T1C00002569g0001240","-",788,245
"Pc2109T1C00002569g0001250","-",263,788
"Pc2109T1C00002569g0001270","-",1359,201
"Pc2109T1C00002569g0001260","+",263,201
"Pc2109T1C00002569g0001280","+",1359,2598
"Pc2109T1C00002569g0001290","+",2598,3567
"Pc2109T1C00002569g0001300","+",3567,115
"Pc2109T1C00000345g0000180","-",NA,12
"Pc2109T1C00002569g0001310","+",115,2852
"Pc2109T1C00002569g0001320","+",2852,2141
"Pc2109T1C00002569g0001330","-",2052,2141
"Pc2109T1C00002569g0001340","-",1985,2052
"Pc2109T1C00002569g0001360","-",25903,241
"Pc2109T1C00002569g0001350","+",1985,241
"Pc2109T1C00002569g0001370","+",25903,60863
"Pc2109T1C00002569g0001380","+",60863,5099
"Pc2109T1C00002574g0000020","-",49,52
"Pc2109T1C00002574g0000030","-",1030,49
"Pc2109T1C00000347g0000020","-",NA,1968
"Pc2109T1C00000347g0000010","+",NA,1968
"Pc2109T1C00002574g0000040","+",1030,993
"Pc2109T1C00002574g0000050","-",5072,993
"Pc2109T1C00002574g0000060","+",5072,14572
"Pc2109T1C00002574g0000080","-",387,60
"Pc2109T1C00002574g0000070","+",14572,60
"Pc2109T1C00002574g0000090","-",4263,387
